specie,year_1988,year_1998,year_2007,year_2014,year_2015,year_2016,colors,colorSeries,long,r,g,b
凤头鸊鷉Podiceps cristatus,0,4,6,125,145,145,灰白,#bebfb0,50,190,191,176
小鸊鷉Tachybaptus ruficollis,13,8,21,178,156,156,灰色,#a68d88,28,190,191,176
黑颈Podiceps nigricollis,,,,12,47,47,灰色/黄色,#ffc367,30,255,195,103
斑头雁Anser indicus,,,,2,0,0,灰色,#bebfb0,73,190,191,176
灰雁Anser anser,,,,1,0,0,灰色/褐色,#bebfb0,78,190,191,176
针尾鸭Anas acuta,0,4,2,20,25,25,灰色/黄褐色,#ffc367,57,255,195,103
琵嘴鸭Anas clypeata,,,,4,0,0,绿色/白色/褐色,#87ffb9,47,135,255,185
赤膀鸭Anas strepera,,,,367,399,399,灰色,#bebfb0,49,190,191,176
赤颈鸭Anas penelope,,,,26,40,40,棕红色/灰色,#bebfb0,46,190,191,176
绿翅鸭Anas crecca,7,8,,329,209,209,栗色/灰色,#9d8e3a,37,190,191,176
罗纹鸭Anas falcata,0,2,4,2,7,7,灰色,#bebfb0,46,190,191,176
绿头鸭Anas platyrhynchos,,,14,320,281,281,灰色,#bebfb0,54,190,191,176
鸳鸯Aix galericulata,,,,40,11,11,红/黄/黑/金属绿,#87ffb9,43,135,255,185
斑嘴鸭Anas poecilorhyncha,,,,140,32,32,灰色/栗色,#bebfb0,60,190,191,176
琵嘴鸭Anas clypeata,,,,,0,0,绿色/白色/褐色,#6afb65,47,106,251,101
鹊鸭Bucephala clangula,9,7,3,16,7,7,黑色/绿色/白色,#f0c096,50,135,255,185
长尾鸭Clangula hyemalis,,,,0,0,0,黑色,#000000,58,0,0,0
赤麻鸭Tadorna ferruginea,2,2,8,58,27,27,黄色/褐色,#e1b2b0,58,255,195,103
斑背潜鸭Aythya marila,0,1,,1,1,1,白色/深绿色,#6afb65,44,106,251,101
红头潜鸭Aythya ferina,0,2,3,23,56,56,白色,#f6f6f6,46,246,246,246
凤头潜鸭Aythya fuligula,,,,120,62,62,黑色,#000000,44,0,0,0
白眼潜鸭Aythya nyroca,0,3,6,64,69,69,栗色/棕色,#ffa926,38,255,169,38
赤嘴潜鸭Netta rufina,,,,6,4,4,栗色/棕色,#ffa926,50,255,169,38
青头潜鸭Nettapus coromandelianus,,,,,0,0,黑褐色/白色,#d06e1e,115,208,110,30
棉凫Nettapus coromandelianus,,,,20,18,18,黑/灰白色,#000000,26,0,0,0
中华秋沙鸭Mergus squamatus,,,,,0,0,黑色,#000000,56,0,0,0
普通秋沙鸭Mergus merganser,,,,76,23,23,白色,#f6f6f6,61,246,246,246
大白鹭Casmerodius albus,,,,4,3,3,白色,#f6f6f6,88,246,246,246
中白鹭Egretta intermedia,,,,32,39,39,白色,#f6f6f6,66,246,246,246
白鹭Egretta garzetta,1,1,18,1400,60,60,白色,#9e472d,56,246,246,246
牛背鹭Bubulcus ibis,,,,32,24,24,白色,#f6f6f6,51,246,246,246
池鹭Ardeola bacchus,31,19,52,42,13,13,栗色/棕色,#febeb0,47,255,169,38
夜鹭Nycticorax nycticorax,2,2,2,120,150,150,白色,#9c8786,53,246,246,246
绿鹭Butorides striatus,,,,,0,0,灰色,#bebfb0,48,190,191,176
苍鹭Ardea cinerea,0,1,46,45,31,31,灰色,#bebfb0,92,190,191,176
栗苇鳽Ixobrychus cinnamomeuas,,,,,0,0,栗黄色,#ffa926,34,208,110,30
草鹭Ardea purpurea,,,,,2,2,褐色/栗黄色,#ffa926,90,255,169,38
大麻鳽Botaurus stellaris,,,,2,3,3,褐色,#ffa926,65,255,169,38
黄苇鳽Ixobrychus sinensis,,,,8,13,13,黄色/灰色,#ffc367,33,255,195,103
紫背苇鳽Ixobrychus eurhythmus,,,,,0,0,褐色/浅黄色,#ffa926,33,255,169,38
钳嘴鹳Anastomus oscitans,,,,58,26,26,黑色,#000000,81,0,0,0
白琵鹭Platalea leucorodia,,,,1,1,1,白色,#f6f6f6,85,246,246,246
彩鹮Rostratula benghalensis,,,,,3,3,红黑色,#f64c4c,24,246,76,76
水雉Hydrophasianus chirurgus,,,,12,8,8,黑色,#000000,45,0,0,0
灰斑鸻Pluvialis squatarola,,,,,0,0,灰色,#bebfb0,30,190,191,176
环颈鸻Charadrius alexandrinus,,,,,0,0,灰色,#bebfb0,16,190,191,176
金眶鸻Charadrius dubius,1,0,,6,4,4,褐色,#967d75,16,255,169,38
长嘴剑鸻Charadrius placidus,,,,14,7,7,灰色,#bebfb0,21,190,191,176
凤头麦鸡Vanellus vanellus,,,,24,18,18,黑色,#000000,32,0,0,0
灰头麦鸡Vanellus cinereus,,,,,0,0,灰色,#bebfb0,40,190,191,176
扇尾沙锥Gallinago gallinago,12,6,8,5,4,4,褐色,#c1937b,27,255,169,38
林鹬Tringa glareola,4,2,3,,0,0,灰色,#b02737,22,190,191,176
矶鹬Actitis hypoleucos,2,0,,,0,0,灰色,#3d241r,19,190,191,176
